source_tag,source,short,region,year,metric,proxy,preset_id,claimed,unit,note,quarter
transcribed from recollection (V?); fetch and cite before use,"RethinkX / Tony Seba, Rethinking Transportation 2020–2030 (2017)","Seba 2017, passenger miles",US,2030,autonomous_share_of_ride_hail,1,preset-seba-rethinkx,95.0,% of passenger miles served by autonomous fleets,the report's headline: 95% of U.S. passenger miles by on-demand autonomous EV fleets within ten years of approval; the model's nearest quantity is robotaxi deployment coverage of profitable ride-hail hours,
transcribed from recollection (V?); fetch and cite before use,"RethinkX / Tony Seba, Rethinking Transportation (2017)","Seba 2017, drivers (implied)",US,2030,ride_hail_driver_displacement,0,preset-seba-rethinkx,90.0,% of ride-hail driver task-hours,implied by the passenger-mile claim; compared with the model's robotaxi displacement share,
transcribed from recollection (V?); fetch and cite before use,"RethinkX, Rethinking Humanity (2020)",RethinkX 2020,US,2035,embodied_displacement_share,1,preset-seba-rethinkx,20.0,% of task-hours,"the report argues that labour, transport, food, energy and materials are disrupted in the 2020s–2030s; 20% of physical task-hours by 2035 is our reading of its labour chapter (V?, low confidence transcription)",
transcribed from recollection (V?); fetch and cite before use,"Acemoglu (2024), 'The Simple Macroeconomics of AI'",Acemoglu 2024,US,2034,tfp_pct,0,preset-acemoglu-2024,0.66,% TFP over ten years (upper bound),replication preset exists,
transcribed from recollection (V?); fetch and cite before use,"Goldman Sachs (2023), 'The Potentially Large Effects of AI on Economic Growth'",Goldman 2023,US,2033,gdp_pct,0,preset-goldman-2023,7.0,% GDP over ten years,replication preset exists,
transcribed from recollection (V?); fetch and cite before use,"IMF (2024), 'Gen-AI: Artificial Intelligence and the Future of Work'",IMF 2024,US,2034,exposed_share,1,,60.0,% of jobs exposed (advanced economies),compared with the model's ever-automatable mass share of employment,
transcribed from recollection (V?); fetch and cite before use,"Brynjolfsson, Chandar, Chen (2025), 'Canaries in the Coal Mine'",Canaries 2025,US,2025,young_exposed_employment_pct,1,,-13.0,% employment of 22–25-year-olds in the most exposed occupations vs late 2022,compared with the model's 16–24 employment effect in the most exposed occupations at 2025Q4,
challengergray.com monthly reports (V: page summaries 2026-09-03; report PDFs not fetched),"Challenger, Gray & Christmas, job cut announcement reports (2025 annual; monthly through June 2026)","Challenger 2025, AI-cited job cuts",US,2025,ai_layoffs_in_year,1,,54836.0,announced U.S. job cuts citing AI in the calendar year,"employers cited AI for 54,836 announced cuts in 2025; compared with the model's layoffs attributed to AI during 2025 (announced cuts include positions closed by attrition and redeployment, so the like-for-like model figure lies between its layoffs and its unfilled positions)",
challengergray.com June 2026 report and coverage (V: page summaries 2026-09-03; report PDFs not fetched),"Challenger, Gray & Christmas, job cut announcement reports (cumulative since AI was first tracked in 2023)","Challenger 2026, AI-cited cuts since 2023",US,2026,ai_layoffs_cum,1,,173568.0,"announced U.S. job cuts citing AI, 2023 to June 2026","101,743 of these were announced in the first half of 2026, when AI led all stated reasons for cuts five months running; compared with the model's cumulative AI layoffs at 2026Q2",2026Q2
rethinkx.com/blog/rethinkx/disruptive-economics-of-humanoid-robots and /the-disruption-of-labour-by-humanoid-robots (V: page summaries 2026-09-02; full text not fetched),"RethinkX, 'Near-zero cost labor: the disruptive economics of humanoid robots' (2025) and 'This time, we are the horses' (2024, updated Dec 2025)","RethinkX 2025, robot cost at entry",US,2025,humanoid_cost_per_hour_usd,1,preset-seba-2026,10.0,$ per robot labour-hour at market entry,"humanoid robots enter the market at a cost-capability under $10/hour; compared with the model's mobile-manipulation hardware cost per worker-hour equivalent (integration excluded); for a cost, 'model lower' means the model is the more aggressive of the two",
rethinkx.com/labor/in-depth/insights-into-humanoid-robotics (V: page summary 2026-09-02; full text not fetched),"RethinkX, 'Near-zero cost labor' (2025); '15 RethinkX Robotics Insights' (2026)","RethinkX 2025, robot cost by 2035",US,2034,humanoid_cost_per_hour_usd,1,preset-seba-2026,1.0,$ per robot labour-hour,"under $1/hour before 2035 (and under $0.10 before 2045, outside the horizon); compared with the model's mobile-manipulation hardware cost per worker-hour equivalent at 2034Q4; for a cost, 'model lower' means the model is the more aggressive of the two",
rethinkx.com/blog/rethinkx/the-painful-truth-about-ai-and-robotics (V: page summary 2026-09-02; full text not fetched),"RethinkX, 'This time, we are the horses' (updated Dec 2025); 'The Painful Truth about AI & Robotics' (2026)","RethinkX 2026, robots do half of physical work",US,2039,physical_work_share,1,preset-seba-2026,50.0,% of physical task-hours,"'by the end of the 2030s robots are likely to be performing as much total labor as human beings'; read as half of physical task-hours done by robots and vehicles at 2039Q4 (office and analytical work is the software channel, not this claim)",
user-supplied summary of the 2026 report (V: summary only; report not fetched),"Seba / RethinkX, 'Rethinking Energy, Mobility, and Materials' (2026), decadal roadmap","Seba 2026, TaaS by 2035",US,2035,autonomous_share_of_ride_hail,1,preset-seba-2026,80.0,% of urban passenger miles by autonomous TaaS,roadmap phase 3 (~2035): 'TaaS provides over 80% of urban passenger miles'; compared with robotaxi deployment coverage of profitable ride-hail hours,
user-supplied summary of the 2026 report (V: summary only; the 50% midpoint is our interpolation),"Seba / RethinkX, 'Rethinking Energy, Mobility, and Materials' (2026), decadal roadmap","Seba 2026, TaaS by 2032",US,2032,autonomous_share_of_ride_hail,1,preset-seba-2026,50.0,% of urban passenger miles by autonomous TaaS,roadmap phase 2 (2029–2032): 'autonomous TaaS networks gain widespread regulatory approval'; read as half of urban passenger miles by 2032 on the way to 80% in 2035,
