series_id,label,quarter,value,unit,model_metric,source,source_tag,used_in_fit
btos_firm,"Firms using AI (BTOS, %)",2024Q1,5.4,% of firms,adoption_share_firm_weighted,"Census BTOS, Feb 2024 reference period",real (transcribed; secondary confirmation),1
btos_firm,"Firms using AI (BTOS, %)",2025Q3,10.0,% of firms,adoption_share_firm_weighted,"Census BTOS, Sep 2025 (~10%)",real (transcribed; approximate),1
btos_firm,"Firms using AI (BTOS, %)",2025Q4,17.3,% of firms,adoption_share_firm_weighted,"Census BTOS, Nov 2025, business-functions wording (not comparable with earlier rows)",real (transcribed; wording change),1
btos_firm,"Firms using AI (BTOS, %)",2026Q1,18.0,% of firms,adoption_share_firm_weighted,"Census BTOS, Nov 2025-Jan 2026 pooled",real (transcribed; wording change),1
challenger_ai_cum,Announced AI-cited job cuts since 2023 (Challenger),2023Q4,3900.0,cuts,ai_layoffs_cum,Challenger 2023 total (before the model horizon; carried as the offset),real (transcribed; secondary confirmation),0
challenger_ai_cum,Announced AI-cited job cuts since 2023 (Challenger),2024Q4,16989.0,cuts,ai_layoffs_cum,"Challenger 2024 total 13,089 plus 2023",real (transcribed; secondary confirmation),0
challenger_ai_cum,Announced AI-cited job cuts since 2023 (Challenger),2025Q4,71825.0,cuts,ai_layoffs_cum,"Challenger 2025 total 54,836 plus prior",real (transcribed; report),1
challenger_ai_cum,Announced AI-cited job cuts since 2023 (Challenger),2026Q2,173568.0,cuts,ai_layoffs_cum,Challenger cumulative since 2023 through June 2026,real (transcribed; report),1
robotaxi_fleet_us,U.S. robotaxi fleet (Waymo vehicles),2024Q3,700.0,vehicles,driving_fleet_units_us,"Waymo statements, Aug 2024 (about 700 vehicles)",V? (transcribed from recollection),0
robotaxi_fleet_us,U.S. robotaxi fleet (Waymo vehicles),2025Q2,1500.0,vehicles,driving_fleet_units_us,"Waymo statements, mid-2025 (about 1,500 vehicles)",V? (transcribed from recollection),0
robotaxi_fleet_us,U.S. robotaxi fleet (Waymo vehicles),2025Q4,2500.0,vehicles,driving_fleet_units_us,"Waymo statements, late 2025 (about 2,500 vehicles; 2026 plans above 3,500)",V? (transcribed from recollection),0
ai_revenue,"AI industry revenue (world, $bn/yr)",2025Q4,60.0,$bn/yr,ai_producer_revenue_bn,"OpenAI $13.1bn (FT-verified), Anthropic ~$5bn, Microsoft and Google AI lines, Menlo Ventures enterprise estimate; range 45-80",press summaries (V: secondary),1
ai_revenue,"AI industry revenue (world, $bn/yr)",2026Q4,140.0,$bn/yr,ai_producer_revenue_bn,"run rates mid-2026 (OpenAI ~$40bn, Anthropic ~$47bn gross) and market estimates; range 90-200",press summaries (V: secondary; run rates),1
capex,"Hyperscaler capex, four companies ($bn/yr)",2024Q4,250.7,$bn/yr,hyperscaler_capex_bn,company reports (data/processed/series/capex.csv),real (transcribed; secondary confirmation),1
capex,"Hyperscaler capex, four companies ($bn/yr)",2025Q4,413.4,$bn/yr,hyperscaler_capex_bn,company reports,real (transcribed; secondary confirmation),1
capex,"Hyperscaler capex, four companies ($bn/yr)",2026Q4,732.5,$bn/yr,hyperscaler_capex_bn,July 2026 guidance,real (transcribed; guidance),1
grad_unemployment,"Unemployment rate, recent college graduates 22-27 (NY Fed, %)",2025Q2,4.8,%,none,"NY Fed, The Labor Market for Recent College Graduates",real (transcribed; secondary confirmation),0
grad_unemployment,"Unemployment rate, recent college graduates 22-27 (NY Fed, %)",2025Q4,5.7,%,none,NY Fed,real (transcribed; secondary confirmation),0
grad_unemployment,"Unemployment rate, recent college graduates 22-27 (NY Fed, %)",2026Q1,5.6,%,none,NY Fed,real (transcribed; secondary confirmation),0
grad_unemployment,"Unemployment rate, recent college graduates 22-27 (NY Fed, %)",2026Q2,5.6,%,none,NY Fed,real (transcribed; secondary confirmation),0
indeed_software,"Software development job postings, Indeed index (Feb 2020 = 100)",2026Q1,70.9,index,none,"Indeed Hiring Lab via FRED (IHLIDXUSTPSOFTDEVE), 13 Mar 2026",real (transcribed; single point),0
