app_id,name,family,cls,platform,occ_codes,sectors,regions_first,anchor,constraints,provisional_profitable,provisional_deployed50,source_tag
robotaxi,Robotaxis,embodied,driving,1,53-3054;53-3053,"",US;CN;SG;RoA,paid autonomous rides per week and fleet size (public company posts); state and city permits,approval by city and state; production ramp; utilization,2026-28,2031-35,"spec v0.3 §A.8 catalogue (provisional timings are E, V?)"
autonomous_trucking,Autonomous trucking,embodied,driving,0,53-3032,"",US;CN,driverless corridor launches; permits,approval by state and corridor; depot network,2027-29,2033-37,"spec v0.3 §A.8 catalogue (provisional timings are E, V?)"
last_mile_delivery,Last-mile delivery,embodied,driving;aerial,1,53-3033;43-5021;53-3031,"",US;CN;KR;SG,permitted operations counts,sidewalk and BVLOS approval; density,2027-30,2033-38,"spec v0.3 §A.8 catalogue (provisional timings are E, V?)"
warehouse_robotics,Warehouse robotics,embodied,manip,0,53-7062;53-7064;53-7065;53-7051,"",US;CN;JP;KR;EU,robot installations (IFR aggregates); retailer disclosures,ramp; integration; site conversion,2025-27,2030-34,"spec v0.3 §A.8 catalogue (provisional timings are E, V?)"
manufacturing_flexible,Flexible manufacturing robots,embodied,manip,0,51-2098;51-2092;51-2028;51-9061;51-9111;51-4121,"",CN;KR;JP;US;EU,IFR installations by application; humanoid pilot counts,learning rate; integration,2028-31,2034-40,"spec v0.3 §A.8 catalogue (provisional timings are E, V?)"
humanoid_general,General-purpose humanoids,embodied,manip,0,*manip,"",CN;US,unit price disclosures; pilot deployments,unit cost; dexterity; safety certification,2030-34,beyond 2040,"spec v0.3 §A.8 catalogue (provisional timings are E, V?)"
food_service_automation,Food-service automation,embodied,manip;fixed,0,35-2014;35-2011;35-2021;35-3023;35-2012,"",US;JP;KR,vendor deployments,unit cost vs low wages; site conversion,2028-32,2035-40,"spec v0.3 §A.8 catalogue (provisional timings are E, V?)"
agricultural_robotics,Agricultural robotics,embodied,manip,0,45-2092;45-2091;45-2093,"",US;EU;JP,deployment counts by crop,seasonality; crop specificity,2027-31,2035-40,"spec v0.3 §A.8 catalogue (provisional timings are E, V?)"
construction_robotics,Construction robotics,embodied,manip,0,47-2061;47-2021;47-2081;47-2171;47-2031,"",JP;US,pilot counts,site variability; codes,2030-35,beyond 2040,"spec v0.3 §A.8 catalogue (provisional timings are E, V?)"
retail_checkout_shelf,Retail checkout and shelf automation,embodied,fixed;manip,0,41-2011;53-7065;41-2031,"",US;UK;EU;JP,retailer disclosures,shrink and customer acceptance,2025-27,2030-34,"spec v0.3 §A.8 catalogue (provisional timings are E, V?)"
