actor_id,name,region_id,role,weights_posture,frontier_lag_quarters,releases_per_year,price_frontier_usd_per_mtok,avail_US,avail_EU,avail_UK,avail_CN,avail_JP,avail_KR,avail_IN,avail_TW,avail_SG,avail_RoA,source_tag,price_note,availability_rule,note
openai,OpenAI,US,lab,closed,0,3,3.438,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"partial:public_actor_facts;E(lags,cadence,availability);S(prices, verify at ingest)","GPT-5 list price, Aug 2025; input 1.25 / output 10.0 USD per Mtok, blended 3:1; verify at ingest",us_closed,""
anthropic,Anthropic,US,lab,closed,0,3,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"partial:public_actor_facts;E(lags,cadence,availability);S(prices, verify at ingest)","Claude Opus 4.5 list price, Nov 2025; input 5.0 / output 25.0 USD per Mtok, blended 3:1; verify at ingest",us_closed,""
google_deepmind,Google DeepMind,US,lab,closed,0,3,4.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"partial:public_actor_facts;E(lags,cadence,availability);S(prices, verify at ingest)","Gemini 3 Pro list price (<=200k context), Nov 2025; input 2.0 / output 12.0 USD per Mtok, blended 3:1; verify at ingest",us_closed,"Alphabet; research base in London, home region taken as US (parent, cloud, capex)"
meta,Meta,US,lab,open-lagged,2,2,,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,"partial:public_actor_facts;E(lags,cadence,availability);S(prices, verify at ingest)","",meta,no first-party API list price; Llama served by third parties
xai,xAI,US,lab,closed,1,3,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"partial:public_actor_facts;E(lags,cadence,availability);S(prices, verify at ingest)","Grok 4 list price, Jul 2025; input 3.0 / output 15.0 USD per Mtok, blended 3:1; verify at ingest",us_closed,""
microsoft,Microsoft,US,lab,closed,1,2,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"partial:public_actor_facts;E(lags,cadence,availability);S(prices, verify at ingest)","",us_closed,"cloud (Azure); resells OpenAI models at OpenAI list prices, own MAI/Phi models"
amazon,Amazon,US,lab,closed,2,2,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"partial:public_actor_facts;E(lags,cadence,availability);S(prices, verify at ingest)","Amazon Nova Premier list price, Mar 2025; input 2.5 / output 12.5 USD per Mtok, blended 3:1; verify at ingest",us_closed,cloud (AWS Bedrock); own Nova models plus Anthropic and others
nvidia,NVIDIA,US,compute,closed,0,2,,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,"partial:public_actor_facts;E(lags,cadence,availability);S(prices, verify at ingest)","",export_control,accelerators; CN availability reflects H20/H200 case-by-case licensing (E)
mistral,Mistral AI,EU,lab,open-lagged,3,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"partial:public_actor_facts;E(lags,cadence,availability);S(prices, verify at ingest)","Mistral Large 2 list price, Jul 2024; input 2.0 / output 6.0 USD per Mtok, blended 3:1; verify at ingest",everywhere,France
aleph_alpha,Aleph Alpha,EU,lab,closed,5,2,,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"partial:public_actor_facts;E(lags,cadence,availability);S(prices, verify at ingest)","",home_half,Germany
asml,ASML,EU,chokepoint,closed,0,2,,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,"partial:public_actor_facts;E(lags,cadence,availability);S(prices, verify at ingest)","",export_control,lithography; Netherlands; CN availability reflects EUV ban and DUV licensing (E)
deepseek,DeepSeek,CN,lab,open-frontier,2,3,0.315,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"partial:public_actor_facts;E(lags,cadence,availability);S(prices, verify at ingest)","DeepSeek-V3.2 API list price, Sep 2025; input 0.28 / output 0.42 USD per Mtok, blended 3:1; verify at ingest",cn_open,""
alibaba,Alibaba (Qwen),CN,lab,open-lagged,2,3,,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"partial:public_actor_facts;E(lags,cadence,availability);S(prices, verify at ingest)","",cn_open,Qwen3-Max international list price not transcribed with confidence
bytedance,ByteDance,CN,lab,closed,3,2,,0.2,0.2,0.2,1.0,0.2,0.2,0.2,0.2,0.2,0.2,"partial:public_actor_facts;E(lags,cadence,availability);S(prices, verify at ingest)","",cn_closed,Doubao/Seed; CNY pricing on Volcano Engine not transcribed
moonshot,Moonshot AI,CN,lab,open-lagged,3,2,1.075,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"partial:public_actor_facts;E(lags,cadence,availability);S(prices, verify at ingest)","Kimi K2 API list price, Jul 2025; input 0.6 / output 2.5 USD per Mtok, blended 3:1; verify at ingest",cn_open,""
zhipu,Zhipu AI,CN,lab,open-lagged,3,2,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"partial:public_actor_facts;E(lags,cadence,availability);S(prices, verify at ingest)","GLM-4.5 API list price, Jul 2025; input 0.6 / output 2.2 USD per Mtok, blended 3:1; verify at ingest",cn_open,""
baidu,Baidu,CN,lab,closed,4,2,,0.2,0.2,0.2,1.0,0.2,0.2,0.2,0.2,0.2,0.2,"partial:public_actor_facts;E(lags,cadence,availability);S(prices, verify at ingest)","",cn_closed,ERNIE; CNY pricing on Qianfan not transcribed
